,Date,Price,NAV,Prem/Disc,Return on Price,Return on NAV,Prem/Disc Z-score
0,2018-05-14,16.23,17.05,-4.809384164222876,1.6917293233082678,-0.058616647127772634,1.1754010552474823
1,2018-05-15,16.12,16.95,-4.896755162241878,-0.1857585139318736,-1.4534883720930232,0.9999089233325811
2,2018-05-16,16.12,17.02,-5.28789659224441,-0.12391573729863428,-1.2188044109112064,0.3186727974787819
3,2018-05-17,16.1,17.01,-5.3497942386831285,0.06215040397763558,-0.8619936006154594,0.1895495084981672
4,2018-05-18,16.14,16.98,-4.946996466431094,0.3107520198881337,-1.0368401727484193,0.8761898323757117
5,2018-05-21,16.2,17.09,-5.207723815096551,0.8717310087173138,0.23460410557184247,0.40021032059141354
6,2018-05-22,16.29,17.05,-4.457478005865111,2.3241206030150705,-0.058616647127772634,1.65277080577305
7,2018-05-23,16.28,17.08,-4.683840749414504,0.18461538461539162,-1.2145748987854301,1.2411587157136745
8,2018-05-24,16.22,17.07,-4.979496192149979,-1.9347037484885148,-2.1215596330275286,0.6905538890129188
9,2018-05-25,16.22,17.06,-4.9237983587338805,-1.9347037484885148,-2.1788990825688215,0.7803236281503064
10,2018-05-29,16.08,16.86,-4.626334519572961,-0.5565862708720062,-0.9982384028185654,1.2819758160325816
11,2018-05-30,16.24,17.04,-4.694835680751178,0.4329004329004126,0.058719906048138634,1.1401514318613768
12,2018-05-31,16.17,16.93,-4.489072652096858,0.0,-0.5871990604815115,1.4648221970852566
13,2018-06-01,16.24,17.12,-5.140186915887865,2.6548672566371563,1.6023738872403535,0.33384133451023146
14,2018-06-04,16.31,17.18,-5.064027939464499,1.4303482587064704,0.7624633431084985,0.4273307527718072
15,2018-06-05,16.31,17.19,-5.1192553810355,1.4303482587064704,0.8211143695014695,0.3266731455569881
16,2018-06-06,16.38,17.32,-5.427251732101624,1.8023617153511444,1.2865497076023324,-0.23098934996695503
17,2018-06-07,16.42,17.31,-5.141536683997672,2.241594022415959,1.346604215456677,0.2619231846803967
18,2018-06-08,16.42,17.36,-5.414746543778789,1.4206300185299594,1.283547257876306,-0.25016290155548604
19,2018-06-11,16.47,17.39,-5.290396779758492,-0.42381847751827406,0.23054755043227174,-0.03018430971855051
20,2018-06-12,16.64,17.4,-4.367816091954012,0.6039866748085058,0.2881844380403294,1.6004551391393755
21,2018-06-13,16.59,17.35,-4.380403458213265,0.789793438639119,0.3470213996529918,1.5535365740041136
22,2018-06-14,16.55,17.27,-4.16907932831499,2.1604938271605025,0.9941520467836149,1.8675251280201846
23,2018-06-15,16.52,17.26,-4.2873696407879605,2.864259028642596,0.8766803039158512,1.602617550342559
24,2018-06-18,16.41,17.22,-4.703832752613233,2.2429906542056037,1.5330188679245165,0.8533674846780125
25,2018-06-19,16.34,17.17,-4.834012813046021,1.8068535825545118,1.2382075471698162,0.6223073143784835
26,2018-06-20,16.4,17.18,-4.540162980209553,1.8633540372670632,1.4167650531286802,1.099272654734275
27,2018-06-21,16.31,17.11,-4.6756282875511435,1.3673088875077617,1.1229314420803649,0.855290286634438
